,trial_id,transformer_name,dataset_name,classifier_score,time_transform_train,time_transform_test,time_train,time_total,size_train,size_test,len_train,len_test,n_classes
821,1,rocket,ProximalPhalanxOutlineCorrect,0.9209621993127147,0.3397798538208008,0.194580078125,1.3779489994049072,2.219825029373169,600,291,80,80,2
822,2,rocket,ProximalPhalanxOutlineCorrect,0.9209621993127147,0.4081711769104004,0.22033286094665527,1.4817430973052979,2.3519299030303955,600,291,80,80,2
823,3,rocket,ProximalPhalanxOutlineCorrect,0.9209621993127147,0.38785529136657715,0.20887398719787598,1.4540884494781494,2.3322460651397705,600,291,80,80,2
824,4,rocket,ProximalPhalanxOutlineCorrect,0.9209621993127147,0.33283329010009766,0.19551634788513184,1.4133000373840332,2.3207578659057617,600,291,80,80,2
825,0,rocket,Rock,0.82,0.8747527599334717,1.5877056121826172,1.1691489219665527,3.408881187438965,20,50,2844,2844,4
826,1,rocket,Rock,0.82,0.8810834884643555,1.5821235179901123,1.1705458164215088,3.3106186389923096,20,50,2844,2844,4
827,2,rocket,Rock,0.82,0.8196098804473877,1.5804779529571533,1.1076362133026123,3.2444705963134766,20,50,2844,2844,4
828,3,rocket,Rock,0.82,0.7251651287078857,1.5792882442474365,1.0138614177703857,3.1454710960388184,20,50,2844,2844,4
829,4,rocket,Rock,0.82,0.7943410873413086,1.580113172531128,1.0913374423980713,3.319338321685791,20,50,2844,2844,4
830,0,rocket,ShapeletSim,0.9722222222222222,0.15044951438903809,0.6571123600006104,0.4725809097290039,1.772085428237915,20,180,500,500,2
831,1,rocket,ShapeletSim,0.9722222222222222,0.17084026336669922,0.6801502704620361,0.49125051498413086,1.7962524890899658,20,180,500,500,2
832,2,rocket,ShapeletSim,0.9722222222222222,0.15030884742736816,0.9424488544464111,0.46932077407836914,2.0078213214874268,20,180,500,500,2
833,3,rocket,ShapeletSim,0.9722222222222222,0.15071678161621094,0.761073112487793,0.4752638339996338,1.8984625339508057,20,180,500,500,2
834,4,rocket,ShapeletSim,0.9722222222222222,0.1505899429321289,0.6105382442474365,0.46993207931518555,1.7200226783752441,20,180,500,500,2
835,0,rocket,SmallKitchenAppliances,0.8,1.7739334106445312,1.8637025356292725,2.5888304710388184,5.297502279281616,375,375,720,720,3
836,1,rocket,SmallKitchenAppliances,0.8,1.812567949295044,1.8094384670257568,2.601783514022827,5.2732155323028564,375,375,720,720,3
